,ExpectedReturn,ReturnScore,FinalScore
ADANIENT.NS,0.022540182,0.29699463,0.29699463
ADANIPORTS.NS,0.0472196,0.46390605,0.46390605
APOLLOHOSP.NS,0.03461917,0.37868702,0.37868702
ASIANPAINT.NS,0.058743235,0.54184246,0.54184246
AXISBANK.NS,0.050247528,0.48438445,0.48438445
BAJAJ-AUTO.NS,0.03547839,0.3844981,0.3844981
BAJAJFINSV.NS,0.0013735254,0.15384068,0.15384068
BAJFINANCE.NS,-0.012757854,0.058267586,0.058267586
BHARTIARTL.NS,0.025811853,0.31912154,0.31912154
BPCL.NS,0.023582222,0.30404216,0.30404216
BRITANNIA.NS,0.020160755,0.28090215,0.28090215
CIPLA.NS,0.031775914,0.35945755,0.35945755
COALINDIA.NS,0.063843235,0.5763347,0.5763347
DIVISLAB.NS,0.008423036,0.2015178,0.2015178
DRREDDY.NS,0.013798537,0.23787329,0.23787329
EICHERMOT.NS,0.007912748,0.19806662,0.19806662
GRASIM.NS,0.031841848,0.3599035,0.3599035
HCLTECH.NS,0.013401827,0.23519027,0.23519027
HDFCBANK.NS,-0.011122897,0.0693251,0.0693251
HDFCLIFE.NS,0.00019804301,0.14589068,0.14589068
HEROMOTOCO.NS,0.019017506,0.27317014,0.27317014
HINDALCO.NS,0.04336104,0.4378099,0.4378099
HINDUNILVR.NS,0.022637986,0.29765612,0.29765612
ICICIBANK.NS,0.012694141,0.23040406,0.23040406
INDUSINDBK.NS,0.12648614,1.0,1.0
INFY.NS,0.010003751,0.21220846,0.21220846
ITC.NS,0.044576455,0.44602996,0.44602996
JSWSTEEL.NS,0.004145798,0.17259006,0.17259006
KOTAKBANK.NS,-0.021373264,0.0,0.0
LT.NS,0.02467355,0.311423,0.311423
M&M.NS,0.032379866,0.3635422,0.3635422
MARUTI.NS,0.016613986,0.25691468,0.25691468
NESTLEIND.NS,0.044709377,0.44692895,0.44692895
NTPC.NS,0.067793556,0.6030514,0.6030514
ONGC.NS,0.041569743,0.42569503,0.42569503
POWERGRID.NS,0.035999376,0.38802162,0.38802162
RELIANCE.NS,0.032111496,0.36172718,0.36172718
SBILIFE.NS,0.028127497,0.33478266,0.33478266
SBIN.NS,0.058397133,0.5395017,0.5395017
SUNPHARMA.NS,0.04497836,0.44874814,0.44874814
TATACONSUM.NS,0.025660794,0.31809992,0.31809992
TATASTEEL.NS,-0.0048727277,0.11159614,0.11159614
TCS.NS,0.03439825,0.3771929,0.3771929
TECHM.NS,0.021235788,0.28817278,0.28817278
TITAN.NS,0.021133412,0.28748038,0.28748038
ULTRACEMCO.NS,0.01431319,0.24135399,0.24135399
WIPRO.NS,-0.0030671193,0.12380779,0.12380779
